Name;Age;Nationality;Club;Value;Preferred Foot;Position;Jersey Number;BallControl;Acceleration;SprintSpeed;Agility;Aggression;Interceptions
M. Neuer;32;Germany;FC Bayern München;€38M;Right;Portero;1;48;54;60;51;29;30
S. Agüero;30;Argentina;Manchester City;€64.5M;Right;Delantero;10;89;88;80;86;65;24
G. Chiellini;33;Italy;Juventus;€27M;Left;Defensa;3;57;63;75;54;92;88
K. Mbappé;19;France;Paris Saint-Germain;€81M;Right;Centrocampista;10;91;96;96;92;62;38
M. Salah;26;Egypt;Liverpool;€69.5M;Left;Centrocampista;10;88;94;91;91;63;55
Casemiro;26;Brazil;Real Madrid;€59.5M;Right;Centrocampista;14;78;59;65;62;87;87
J. Rodríguez;26;Colombia;FC Bayern München;€69.5M;Left;Centrocampista;10;90;73;67;83;64;55
L. Insigne;27;Italy;Napoli;€62M;Right;Centrocampista;10;93;94;86;94;34;26
Isco;26;Spain;Real Madrid;€73.5M;Right;Centrocampista;22;95;75;69;87;58;64
C. Eriksen;26;Denmark;Tottenham Hotspur;€73.5M;Right;Centrocampista;10;91;75;73;79;46;56
Coutinho;26;Brazil;FC Barcelona;€69.5M;Right;Centrocampista;7;92;89;75;92;59;49
P. Aubameyang;29;Gabon;Arsenal;€59M;Right;Centrocampista;14;82;93;95;76;43;48
M. Hummels;29;Germany;FC Bayern München;€46M;Right;Defensa;5;81;53;64;63;69;92
Marcelo;30;Brazil;Real Madrid;€43M;Left;Lateral;12;92;83;82;86;84;85
G. Bale;28;Wales;Real Madrid;€60M;Left;Delantero;11;85;94;95;82;65;59
H. Lloris;31;France;Tottenham Hotspur;€36M;Left;Portero;1;34;65;62;55;31;27
G. Higuaín;30;Argentina;Milan;€57M;Right;Delantero;9;85;73;73;75;50;20
Thiago Silva;33;Brazil;Paris Saint-Germain;€24M;Right;Defensa;2;80;70;72;68;76;89
S. Handanovi?;33;Slovenia;Inter;€30M;Right;Portero;1;16;51;55;47;25;22
G. Buffon;40;Italy;Paris Saint-Germain;€4M;Right;Portero;1;28;49;43;55;38;28
S. Umtiti;24;France;FC Barcelona;€57M;Left;Defensa;23;77;71;73;68;81;87
M. Icardi;25;Argentina;Inter;€64.5M;Right;Delantero;9;81;77;78;76;56;22
K. Koulibaly;27;Senegal;Napoli;€51M;Right;Defensa;26;60;68;75;50;87;88
P. Pogba;25;France;Manchester United;€64M;Right;Centrocampista;6;90;71;79;74;78;66
K. Navas;31;Costa Rica;Real Madrid;€30.5M;Right;Portero;1;19;54;53;60;32;20
R. Lukaku;25;Belgium;Manchester United;€62.5M;Left;Delantero;9;72;77;90;60;75;27
C. Immobile;28;Italy;Lazio;€52M;Right;Delantero;17;83;78;85;77;77;40
Jordi Alba;29;Spain;FC Barcelona;€38M;Left;Lateral;18;84;93;93;90;75;84
D. Mertens;31;Belgium;Napoli;€45M;Right;Delantero;14;89;93;85;94;59;36
J. Vertonghen;31;Belgium;Tottenham Hotspur;€34M;Left;Defensa;5;76;61;65;61;84;89
M. Hamšík;30;Slovakia;Napoli;€46.5M;Right;Centrocampista;17;87;69;68;76;56;72
I. Rakiti?;30;Croatia;FC Barcelona;€46.5M;Right;Centrocampista;4;87;66;59;72;67;75
Piqué;31;Spain;FC Barcelona;€34M;Right;Defensa;3;78;49;60;58;72;88
L. Sané;22;Germany;Manchester City;€61M;Left;Centrocampista;19;85;93;96;88;61;34
Bernardo Silva;23;Portugal;Manchester City;€59.5M;Left;Centrocampista;11;91;84;74;90;58;49
Ederson;24;Brazil;Manchester City;€41.5M;Left;Portero;31;37;64;63;60;35;25
S. Mané;26;Senegal;Liverpool;€52M;Right;Centrocampista;10;86;95;93;91;73;35
V. van Dijk;26;Netherlands;Liverpool;€44.5M;Right;Defensa;4;73;74;77;61;81;86
R. Sterling;23;England;Manchester City;€56.5M;Right;Centrocampista;10;87;95;92;93;38;30
Roberto Firmino;26;Brazil;Liverpool;€53M;Right;Centrocampista;9;88;78;77;80;73;58
R. Varane;25;France;Real Madrid;€50M;Right;Defensa;4;77;83;85;63;77;82
M. Verratti;25;Italy;Paris Saint-Germain;€55M;Right;Centrocampista;6;88;69;62;87;89;84
Alex Sandro;27;Brazil;Juventus;€36.5M;Left;Lateral;12;81;83;86;79;82;82
Douglas Costa;27;Brazil;Juventus;€46.5M;Left;Centrocampista;11;91;97;93;93;55;48
T. Müller;28;Germany;FC Bayern München;€45M;Right;Centrocampista;13;82;73;75;75;57;58
Thiago;27;Spain;FC Bayern München;€45.5M;Right;Centrocampista;19;90;78;69;90;57;78
M. Reus;29;Germany;Borussia Dortmund;€43.5M;Right;Centrocampista;11;86;86;85;86;49;50
Azpilicueta;28;Spain;Chelsea;€35M;Right;Lateral;14;77;76;76;72;82;89
L. Bonucci;31;Italy;Juventus;€30M;Right;Defensa;19;75;57;65;60;82;90
T. Alderweireld;29;Belgium;Tottenham Hotspur;€39M;Right;Defensa;2;74;61;66;60;80;87
M. Pjani?;28;Bosnia Herzegovina;Juventus;€44M;Right;Centrocampista;5;89;66;66;77;70;78
M. Benatia;31;Morocco;Juventus;€30M;Right;Defensa;4;64;65;75;59;86;86
M. Özil;29;Germany;Arsenal;€43.5M;Left;Centrocampista;10;90;72;69;79;48;24
Fernandinho;33;Brazil;Manchester City;€18M;Right;Centrocampista;25;82;68;67;72;87;88
Iniesta;34;Spain;Vissel Kobe;€21.5M;Right;Delantero;8;92;70;67;79;58;66
M. Škriniar;23;Slovakia;Inter;€46.5M;Right;Defensa;37;67;70;73;48;86;86
S. Milinkovi?-Savi?;23;Serbia;Lazio;€50.5M;Right;Centrocampista;21;87;68;70;66;73;78
Marco Asensio;22;Spain;Real Madrid;€54M;Left;Centrocampista;10;85;85;82;79;45;45
N. Fekir;24;France;Olympique Lyonnais;€50M;Left;Centrocampista;18;89;79;79;90;73;28
Alisson;25;Brazil;Liverpool;€36.5M;Right;Portero;13;30;54;45;40;27;11
J. Kimmich;23;Germany;FC Bayern München;€40.5M;Right;Centrocampista;18;85;78;68;84;74;79
Saúl;23;Spain;Atlético Madrid;€50.5M;Left;Centrocampista;6;85;74;73;76;69;78
R. Mahrez;27;Algeria;Manchester City;€40.5M;Left;Centrocampista;26;90;88;83;93;48;39
D. Alaba;26;Austria;FC Bayern München;€38M;Left;Lateral;8;83;79;86;79;69;84
Koke;26;Spain;Atlético Madrid;€45M;Right;Centrocampista;8;86;71;68;74;71;66
A. Lacazette;27;France;Arsenal;€45M;Right;Delantero;9;83;81;84;85;70;42
K. Manolas;27;Greece;Roma;€37.5M;Right;Defensa;4;65;80;85;68;86;86
N. Otamendi;30;Argentina;Manchester City;€28.5M;Right;Defensa;30;70;57;61;64;91;84
Parejo;29;Spain;Valencia CF;€37M;Right;Centrocampista;10;84;51;43;66;58;81
Paulinho;29;Brazil;Guangzhou Evergrande Taobao FC;€37M;Right;Centrocampista;9;84;73;73;69;81;81
W. Szcz?sny;28;Poland;Juventus;€32M;Right;Portero;1;22;51;47;55;40;15
A. Sánchez;29;Chile;Manchester United;€37.5M;Right;Centrocampista;7;86;86;79;90;79;46
Y. Brahimi;28;Algeria;FC Porto;€39M;Right;Centrocampista;8;86;87;75;92;46;38
J. Boateng;29;Germany;FC Bayern München;€30M;Right;Defensa;17;70;67;72;56;81;81
A. Vidal;31;Chile;FC Barcelona;€26M;Right;Centrocampista;8;82;60;55;74;93;84
I. Periši?;29;Croatia;Inter;€37.5M;Right;Centrocampista;44;85;84;88;78;65;69
E. Džeko;32;Bosnia Herzegovina;Roma;€30.5M;Right;Delantero;9;84;65;66;57;51;50
S. Khedira;31;Germany;Juventus;€33M;Right;Centrocampista;6;84;54;60;55;82;86
Diego Costa;29;Spain;Atlético Madrid;€38.5M;Right;Delantero;19;83;74;76;58;93;40
R. Nainggolan;30;Belgium;Inter;€35.5M;Right;Centrocampista;14;85;78;73;76;88;86
Naldo;35;Brazil;FC Schalke 04;€9M;Right;Defensa;29;68;60;65;46;72;83
B. Matuidi;31;France;Juventus;€26M;Left;Centrocampista;14;79;79;77;83;86;86
Miranda;33;Brazil;Inter;€15.5M;Right;Defensa;23;73;66;69;61;83;85
K. Benzema;30;France;Real Madrid;€37M;Right;Delantero;9;86;76;76;76;65;22
Filipe Luís;32;Brazil;Atlético Madrid;€21.5M;Left;Lateral;3;83;76;75;75;81;84
V. Kompany;32;Belgium;Manchester City;€22M;Right;Defensa;4;70;52;59;57;87;82
Pepe;35;Portugal;Be?ikta? JK;€9M;Right;Defensa;3;62;65;70;63;94;85
Z. Ibrahimovi?;36;Sweden;LA Galaxy;€14M;Right;Delantero;9;84;58;59;75;84;20
D. Sánchez;22;Colombia;Tottenham Hotspur;€34M;Right;Defensa;23;73;72;79;60;87;82
J. Giménez;23;Uruguay;Atlético Madrid;€34M;Right;Defensa;24;56;69;70;56;89;85
Alex Telles;25;Brazil;FC Porto;€32M;Left;Lateral;13;82;84;85;73;78;80
A. Laporte;24;France;Manchester City;€34M;Left;Defensa;14;73;62;66;45;75;85
Bruno Fernandes;23;Portugal;Sporting CP;€40.5M;Right;Centrocampista;8;85;79;76;77;65;70
N. Süle;22;Germany;FC Bayern München;€36.5M;Right;Defensa;15;63;52;84;33;82;82
A. Martial;22;France;Manchester United;€42.5M;Right;Centrocampista;11;86;88;89;85;58;42
D. Alli;22;England;Tottenham Hotspur;€42.5M;Right;Centrocampista;20;85;73;76;76;84;74
Fabinho;24;Brazil;Liverpool;€34M;Right;Centrocampista;3;82;69;72;69;85;84
Marquinhos;24;Brazil;Paris Saint-Germain;€35.5M;Right;Centrocampista;5;76;73;76;69;80;84
William Carvalho;26;Portugal;Real Betis;€31.5M;Right;Centrocampista;14;79;49;53;51;75;84
Jorginho;26;Italy;Chelsea;€38M;Right;Centrocampista;8;85;75;69;80;79;78
F. Thauvin;25;France;Olympique de Marseille;€39M;Left;Centrocampista;20;86;87;80;86;56;42
Carvajal;26;Spain;Real Madrid;€31.5M;Right;Lateral;2;83;79;84;81;81;83
M. Depay;24;Netherlands;Olympique Lyonnais;€42M;Right;Delantero;10;85;87;87;82;76;28
H. Son;25;Korea Republic;Tottenham Hotspur;€37M;Right;Centrocampista;7;85;88;87;82;60;39
A. Lopes;27;Portugal;Olympique Lyonnais;€25M;Left;Portero;1;21;63;64;67;43;25
S. de Vrij;26;Netherlands;Inter;€31.5M;Right;Defensa;14;71;67;69;61;78;87
M. Perin;25;Italy;Juventus;€29.5M;Right;Portero;22;23;57;56;70;25;19
J. Cuadrado;30;Colombia;Juventus;€29.5M;Right;Centrocampista;11;85;89;93;91;78;62
Iago Aspas;30;Spain;RC Celta;€30M;Left;Delantero;17;85;85;78;87;63;39
B. Leno;26;Germany;Arsenal;€27M;Right;Portero;12;22;46;52;52;28;22
N. Mati?;29;Serbia;Manchester United;€24M;Left;Centrocampista;31;79;52;59;44;80;86
L. Hrádecký;28;Finland;Bayer 04 Leverkusen;€22M;Right;Portero;1;20;38;44;43;31;18
Illarramendi;28;Spain;Real Sociedad;€31M;Right;Centrocampista;4;83;66;57;71;76;87
K. Walker;28;England;Manchester City;€24.5M;Right;Lateral;2;78;86;93;67;78;81
I. Gündo?an;27;Germany;Manchester City;€32M;Right;Centrocampista;21;86;67;68;78;70;77
José Callejón;31;Spain;Napoli;€27.5M;Right;Centrocampista;7;85;88;89;85;54;40
A. Di María;30;Argentina;Paris Saint-Germain;€29.5M;Left;Centrocampista;11;85;85;84;92;73;38
M. Mandžuki?;32;Croatia;Juventus;€25M;Right;Delantero;17;77;67;73;67;88;66
Willian;29;Brazil;Chelsea;€30.5M;Right;Centrocampista;22;84;91;86;89;44;55
Sergio Asenjo;29;Spain;Villarreal CF;€24M;Right;Portero;1;14;59;54;62;20;22
E. Banega;30;Argentina;Sevilla FC;€29M;Right;Centrocampista;10;86;68;64;79;73;76
A. Witsel;29;Belgium;Borussia Dortmund;€24M;Right;Centrocampista;6;84;67;74;78;82;80
D. Payet;31;France;Olympique de Marseille;€27.5M;Right;Centrocampista;18;90;75;72;79;57;37
Jonas;34;Brazil;SL Benfica;€16.5M;Right;Delantero;10;88;65;64;77;61;34
Sokratis;30;Greece;Arsenal;€23M;Right;Defensa;19;58;64;73;60;88;77
S. Ruffier;31;France;AS Saint-Étienne;€19M;Right;Portero;16;15;45;50;51;31;25
Falcao;32;Colombia;AS Monaco;€25M;Right;Delantero;9;82;69;66;76;75;41
K. Schmeichel;31;Denmark;Leicester City;€19M;Right;Portero;1;40;59;60;62;35;20
Raúl Albiol;32;Spain;Napoli;€18M;Right;Defensa;33;71;54;53;53;81;86
A. Gómez;30;Argentina;Atalanta;€30M;Right;Delantero;10;87;94;86;92;56;40
A. Barzagli;37;Italy;Juventus;€4.2M;Right;Defensa;15;65;61;77;52;66;90
Quaresma;34;Portugal;Be?ikta? JK;€15.5M;Right;Centrocampista;7;88;84;82;91;74;24
A. Robben;34;Netherlands;FC Bayern München;€15.5M;Left;Centrocampista;10;88;83;76;87;47;37
O. Dembélé;21;France;FC Barcelona;€40M;Left;Centrocampista;11;83;93;92;90;54;36
Gabriel Jesus;21;Brazil;Manchester City;€41M;Right;Delantero;33;85;87;85;92;73;32
Ronaldo Cabrais;26;Brazil;Grêmio;€28M;Right;Centrocampista;7;83;88;87;85;62;40
Josué Chiamulera;26;Brazil;Grêmio;€22.5M;Right;Defensa;4;70;83;78;77;88;84
Louri Beretta;26;Brazil;Atlético Mineiro;€28.5M;Right;Delantero;9;74;79;83;55;65;32
P. Kimpembe;22;France;Paris Saint-Germain;€30.5M;Left;Defensa;3;78;75;78;74;85;83
N. Keïta;23;Guinea;Liverpool;€34M;Right;Centrocampista;8;88;78;60;89;78;75
C. Tolisso;23;France;FC Bayern München;€34M;Right;Centrocampista;24;81;75;66;75;81;76
T. Lemar;22;France;Atlético Madrid;€35.5M;Left;Centrocampista;8;86;86;84;87;63;66
K. Coman;22;France;FC Bayern München;€34M;Right;Centrocampista;29;83;95;93;87;36;23
J. Tah;22;Germany;Bayer 04 Leverkusen;€29.5M;Right;Defensa;20;64;64;77;48;76;80
Anderson Talisca;24;Brazil;Guangzhou Evergrande Taobao FC;€36.5M;Left;Centrocampista;24;84;77;76;76;67;58
T. Werner;22;Germany;RB Leipzig;€34.5M;Right;Centrocampista;9;84;93;93;81;63;37
A. Rabiot;23;France;Paris Saint-Germain;€33M;Left;Centrocampista;25;83;73;74;79;76;80
L. Goretzka;23;Germany;FC Bayern München;€34M;Right;Centrocampista;14;83;84;79;76;80;83
Q. Promes;26;Netherlands;Sevilla FC;€30.5M;Right;Centrocampista;9;82;90;91;87;60;33
H. Ziyech;25;Morocco;Ajax;€32.5M;Left;Centrocampista;22;83;76;74;85;71;62
Lucas Vázquez;27;Spain;Real Madrid;€27M;Right;Centrocampista;17;83;84;79;79;65;44
Y. Carrasco;24;Belgium;Dalian YiFang FC;€33M;Right;Centrocampista;10;87;89;87;88;61;18
Gerard Moreno;26;Spain;Villarreal CF;€32M;Left;Delantero;7;81;77;80;70;55;40
Felipe;29;Brazil;FC Porto;€20M;Right;Defensa;28;62;60;67;52;92;81
M. Kova?i?;24;Croatia;Chelsea;€35M;Right;Centrocampista;17;89;84;74;81;77;78
Kepa;23;Spain;Chelsea;€28.5M;Right;Portero;13;16;34;33;41;18;21
Manu Trigueros;26;Spain;Villarreal CF;€30M;Right;Centrocampista;14;83;68;65;76;71;69
S. Gnabry;22;Germany;FC Bayern München;€34.5M;Right;Delantero;6;83;92;90;87;63;38
J. Pickford;24;England;Everton;€25M;Left;Portero;1;40;53;44;55;30;24
S. Savi?;27;Montenegro;Atlético Madrid;€26M;Right;Defensa;15;68;55;61;61;83;84
J. Stones;24;England;Manchester City;€28.5M;Right;Defensa;5;80;67;71;61;79;81
Suso;24;Spain;Milan;€33M;Left;Centrocampista;11;89;83;77;86;23;20
J. Draxler;24;Germany;Paris Saint-Germain;€32.5M;Right;Centrocampista;7;89;78;77;80;48;66
Felipe Anderson;25;Brazil;West Ham United;€31.5M;Right;Centrocampista;8;88;93;89;89;67;69
Lucas Moura;25;Brazil;Tottenham Hotspur;€31M;Right;Centrocampista;27;81;94;90;94;72;50
Danilo Pereira;26;Portugal;FC Porto;€27M;Right;Centrocampista;22;78;63;68;58;85;84
Nacho Fernández;28;Spain;Real Madrid;€24.5M;Right;Defensa;12;78;70;79;60;78;81
T. Horn;25;Germany;1. FC Köln;€24M;Left;Portero;1;22;45;51;50;41;22
Allan;27;Brazil;Napoli;€26.5M;Right;Centrocampista;5;80;81;74;82;87;86
F. Acerbi;30;Italy;Lazio;€19M;Left;Defensa;13;72;65;55;33;73;85
Sergi Roberto;26;Spain;FC Barcelona;€26.5M;Right;Lateral;20;83;78;79;69;68;81
Rodrigo;27;Spain;Valencia CF;€30.5M;Left;Delantero;9;82;88;91;84;60;31
Pizzi;28;Portugal;SL Benfica;€25.5M;Right;Centrocampista;21;82;82;73;77;68;70
K. Kampl;27;Slovenia;RB Leipzig;€26.5M;Right;Centrocampista;44;84;84;71;91;64;75
Neto;28;Brazil;Valencia CF;€21M;Right;Portero;13;24;53;49;59;40;15
O. Baumann;28;Germany;TSG 1899 Hoffenheim;€21M;Right;Portero;1;17;47;51;45;32;21
I. Gueye;28;Senegal;Everton;€21M;Right;Centrocampista;17;79;76;72;80;84;87
H. Mkhitaryan;29;Armenia;Arsenal;€25.5M;Right;Centrocampista;7;86;84;78;87;69;64
Marcos Alonso;27;Spain;Chelsea;€24M;Left;Lateral;3;83;69;76;64;75;79
D. Subaši?;33;Croatia;AS Monaco;€13M;Right;Portero;1;19;51;54;42;31;20
K. Glik;30;Poland;AS Monaco;€19M;Right;Defensa;15;59;50;52;34;86;83
K. Strootman;28;Netherlands;Olympique de Marseille;€21M;Left;Centrocampista;16;84;65;66;65;86;83
B. Dost;29;Netherlands;Sporting CP;€26M;Right;Delantero;28;74;49;54;32;70;39
Oscar;26;Brazil;Shanghai SIPG FC;€30.5M;Right;Centrocampista;8;84;75;72;86;43;45
M. Balotelli;27;Italy;OGC Nice;€27.5M;Right;Delantero;9;85;76;82;71;70;30
Luiz Gustavo;30;Brazil;Olympique de Marseille;€19M;Left;Defensa;19;73;65;64;65;88;83
Giuliano;28;Brazil;Al Nassr;€26M;Right;Centrocampista;77;84;85;79;85;71;42
David Luiz;31;Brazil;Chelsea;€17.5M;Right;Defensa;30;79;59;62;69;85;85
R. Fährmann;29;Germany;FC Schalke 04;€20M;Right;Portero;1;24;38;47;39;36;23
Juan Mata;30;Spain;Manchester United;€24.5M;Left;Centrocampista;8;88;69;62;84;50;39
Adán;31;Spain;Atlético Madrid;€15.5M;Left;Portero;1;15;56;54;55;41;20
Rui Patrício;30;Portugal;Wolverhampton Wanderers;€16.5M;Left;Portero;1;23;53;57;61;39;22
Y. Sommer;29;Switzerland;Borussia Mönchengladbach;€20M;Right;Portero;1;25;48;54;55;38;21
Javi Martínez;29;Spain;FC Bayern München;€20M;Right;Centrocampista;8;74;49;53;53;90;87
L. Bender;29;Germany;Bayer 04 Leverkusen;€20M;Right;Lateral;8;75;66;67;65;79;86
Lucas Leiva;31;Brazil;Lazio;€17.5M;Right;Centrocampista;6;78;67;67;78;80;87
S. Mandanda;33;France;Olympique de Marseille;€13M;Right;Portero;16;17;53;43;52;37;23
Cesc Fàbregas;31;Spain;Chelsea;€22M;Right;Centrocampista;4;85;56;54;62;45;50
M. Dembélé;30;Belgium;Tottenham Hotspur;€24M;Left;Centrocampista;19;89;72;72;79;79;82
F. Ribéry;35;France;FC Bayern München;€11.5M;Right;Centrocampista;7;87;78;78;84;51;33
R. Jarstein;33;Norway;Hertha BSC;€13M;Right;Portero;1;23;40;46;35;34;19
D. De Rossi;34;Italy;Roma;€8M;Right;Centrocampista;16;77;63;67;64;84;87
Pepe Reina;35;Spain;Milan;€6M;Right;Portero;25;23;50;63;50;32;22
J. Pavlenka;26;Czech Republic;SV Werder Bremen;€19.5M;Right;Portero;1;19;35;37;39;22;13
M. de Ligt;18;Netherlands;Ajax;€27M;Right;Defensa;3;73;62;72;56;79;79
Rodri;22;Spain;Atlético Madrid;€29M;Right;Centrocampista;16;82;70;66;69;63;80
Arthur;21;Brazil;FC Barcelona;€32.5M;Right;Centrocampista;8;83;68;70;79;73;75
G. Donnarumma;19;Italy;Milan;€29M;Right;Portero;22;28;46;54;64;30;26
Rosberto Dourado;30;Brazil;Atlético Mineiro;€16.5M;Right;Centrocampista;13;76;80;81;72;75;82
Juiano Mestres;34;Brazil;Cruzeiro;€6.5M;Right;Defensa;3;64;68;74;61;86;82
Raphaelito Anjos;30;Brazil;Grêmio;€14M;Right;Portero;1;21;41;42;34;34;23
Gelson Martins;23;Portugal;Atlético Madrid;€29.5M;Right;Centrocampista;18;83;95;94;94;60;43
Gonçalo Guedes;21;Portugal;Valencia CF;€29M;Right;Centrocampista;17;81;89;90;85;67;50
L. Torreira;22;Uruguay;Arsenal;€25M;Right;Centrocampista;14;81;81;74;83;85;87
Malcom;21;Brazil;FC Barcelona;€31.5M;Left;Centrocampista;14;85;87;82;92;53;26
Pau López;23;Spain;Real Betis;€21.5M;Left;Portero;23;16;45;52;40;39;16
L. Hernández;22;France;Atlético Madrid;€25.5M;Left;Lateral;21;79;80;84;70;86;81
C. Lenglet;23;France;FC Barcelona;€26M;Left;Defensa;15;76;72;73;62;80;82
A. Kramari?;27;Croatia;TSG 1899 Hoffenheim;€26M;Right;Centrocampista;27;86;78;72;82;73;21
A. Robertson;24;Scotland;Liverpool;€24.5M;Left;Lateral;3;78;81;86;78;78;80
Dani García;28;Spain;Athletic Club de Bilbao;€20M;Right;Centrocampista;16;81;53;35;67;88;82
F. Bernardeschi;24;Italy;Juventus;€29.5M;Left;Centrocampista;20;87;83;83;85;52;66
J. Brandt;22;Germany;Bayer 04 Leverkusen;€30.5M;Right;Centrocampista;10;85;78;84;82;42;29
D. Rugani;23;Italy;Juventus;€24.5M;Right;Defensa;15;65;56;67;59;72;86
Samu Castillejo;23;Spain;Milan;€29M;Left;Centrocampista;7;83;85;86;83;48;50
João Cancelo;24;Portugal;Juventus;€25.5M;Right;Lateral;2;83;91;91;78;73;77
A. Romagnoli;23;Italy;Milan;€26.5M;Left;Defensa;13;69;63;69;60;84;85
T. Partey;25;Ghana;Atlético Madrid;€25.5M;Right;Centrocampista;5;81;73;76;72;76;79
Fred;25;Brazil;Manchester United;€26.5M;Left;Centrocampista;17;86;77;79;84;73;80
J. Vardy;31;England;Leicester City;€20M;Right;Delantero;9;76;89;91;75;92;49
A. Belotti;24;Italy;Torino;€30M;Right;Delantero;9;75;78;79;79;83;31
E. Forsberg;26;Sweden;RB Leipzig;€26M;Right;Centrocampista;10;87;76;70;81;62;43
J. Lingard;25;England;Manchester United;€26.5M;Right;Centrocampista;7;83;84;82;86;73;53
F. Vázquez;29;Argentina;Sevilla FC;€21.5M;Left;Centrocampista;22;87;58;62;69;78;54
E. Viš?a;28;Bosnia Herzegovina;Medipol Ba?ak?ehir FK;€22.5M;Right;Centrocampista;7;82;90;89;93;47;49
A. Rüdiger;25;Germany;Chelsea;€22.5M;Right;Defensa;16;69;67;78;59;88;80
A. Florenzi;27;Italy;Roma;€20.5M;Right;Lateral;16;79;86;84;87;79;78
H. Maguire;25;England;Leicester City;€23.5M;Right;Defensa;6;76;39;53;52;84;78
T. Meunier;26;Belgium;Paris Saint-Germain;€21M;Right;Centrocampista;15;82;74;81;63;73;76
S. Sané;27;Senegal;FC Schalke 04;€18.5M;Right;Defensa;26;70;62;62;60;84;83
G. Kondogbia;25;Central African Rep.;Valencia CF;€27.5M;Left;Centrocampista;6;82;69;76;76;86;84
Rafinha;25;Brazil;FC Barcelona;€29.5M;Left;Centrocampista;12;84;71;70;80;44;70
Gabriel Paulista;27;Brazil;Valencia CF;€21M;Right;Defensa;5;69;71;74;69;82;82
Morata;25;Spain;Chelsea;€28.5M;Right;Delantero;7;82;76;86;66;56;24
J. Cillessen;29;Netherlands;FC Barcelona;€18M;Right;Portero;1;32;54;50;48;25;25
W. Ben Yedder;27;France;Sevilla FC;€23.5M;Right;Delantero;9;83;87;83;91;55;44
C. Bakambu;27;DR Congo;Beijing Sinobo Guoan FC;€26M;Right;Delantero;17;82;88;88;80;72;39
Pablo Sarabia;26;Spain;Sevilla FC;€26M;Left;Centrocampista;17;84;75;76;80;46;50
W. Zaha;25;Ivory Coast;Crystal Palace;€28.5M;Right;Delantero;11;87;89;92;88;73;23
Luis Alberto;25;Spain;Lazio;€28.5M;Right;Delantero;10;88;77;72;79;29;28
Jonathan Viera;28;Spain;Beijing Sinobo Guoan FC;€22.5M;Right;Delantero;23;82;86;76;89;56;73
Bartra;27;Spain;Real Betis;€21M;Right;Defensa;5;80;75;72;72;80;86
S. Coates;27;Uruguay;Sporting CP;€21M;Right;Defensa;4;62;46;64;32;83;80
Willian José;26;Brazil;Real Sociedad;€26.5M;Right;Delantero;12;80;62;65;65;65;35
Mário Fernandes;27;Russia;PFC CSKA Moscow;€18.5M;Right;Lateral;6;79;79;85;79;77;78
Víctor Ruiz;29;Spain;Villarreal CF;€19.5M;Left;Defensa;6;71;55;59;56;82;83
T. Delaney;26;Denmark;Borussia Dortmund;€21.5M;Left;Centrocampista;8;77;76;78;73;84;85
K. Casteels;26;Belgium;VfL Wolfsburg;€19.5M;Left;Portero;13;23;44;46;50;33;16
M. Götze;26;Germany;Borussia Dortmund;€27M;Right;Centrocampista;10;90;74;64;86;58;65
S. Mustafi;26;Germany;Arsenal;€22.5M;Right;Defensa;20;70;58;65;63;82;82
